filing_status,rate,from,to
single,10,0,11925
single,12,11925,48475
single,22,48475,103350
single,24,103350,197300
single,32,197300,250525
single,35,250525,626350
single,37,626350,999999999
mfj,10,0,23850
mfj,12,23850,96950
mfj,22,96950,206700
mfj,24,206700,394600
mfj,32,394600,501050
mfj,35,501050,751600
mfj,37,751600,999999999
mfs,10,0,11925
mfs,12,11925,48475
mfs,22,48475,103350
mfs,24,103350,197300
mfs,32,197300,250525
mfs,35,250525,375800
mfs,37,375800,999999999
hoh,10,0,17000
hoh,12,17000,64850
hoh,22,64850,103350
hoh,24,103350,197300
hoh,32,197300,250500
hoh,35,250500,626350
hoh,37,626350,999999999
